Identifiant station;Nom de la Station;Nom de la ligne;Incertitude;Recommandation de surveillance;Action(s) QAI en cours;Lien vers les mesures en direct;Durée des mesures;stop_lon;stop_lat;point_geo;pollution_unifiee;pm10;pm25;no2;o3
IDFM:463224;Maison Blanche;Métro 7;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.358412946155939;48.82214950607496;48.82214950607496, 2.358412946155939;pollution moyenne;;;;
IDFM:463215;Maraîchers;Métro 9;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;Action(s) d'amélioration de la qualité de l'air en cours;;;2.4060490065790447;48.85265013095636;48.85265013095636, 2.4060490065790447;pollution moyenne;;;;
IDFM:462914;Marcel Sembat;Métro 9;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;Action(s) d'amélioration de la qualité de l'air en cours;;;2.243583048618053;48.83359298218974;48.83359298218974, 2.243583048618053;pollution moyenne;;;;
IDFM:22116;Ménilmontant;Métro 2;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;Action(s) d'amélioration de la qualité de l'air en cours;;;2.38353966877949;48.866440166781686;48.866440166781686, 2.38353966877949;pollution moyenne;;;;
IDFM:21904;Michel-Ange - Molitor;Métro 10;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.2618218573220084;48.84515597018703;48.84515597018703, 2.2618218573220084;pollution moyenne;;;;
IDFM:462957;Miromesnil;Métro 9;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;Action(s) d'amélioration de la qualité de l'air en cours;;;2.3146768238242688;48.87369210197914;48.87369210197914, 2.3146768238242688;pollution moyenne;;;;
IDFM:462955;Montparnasse Bienvenue;Métro 6;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;oui;;;;2.3212187199903807;48.84213060781436;48.84213060781436, 2.3212187199903807;pollution moyenne;;;;
IDFM:22144;Mouton-Duvernet;Métro 4;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.32979034782274;48.831382009093616;48.831382009093616, 2.32979034782274;pollution faible;;;;
IDFM:22073;Nation;Métro 6;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.3958598043279085;48.84789550545761;48.84789550545761, 2.3958598043279085;pollution moyenne;;;;
IDFM:463062;Notre-Dame-de-Lorette;Métro 12;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.337900771823332;48.87604417483004;48.87604417483004, 2.3379007718233322;pollution moyenne;;;;
IDFM:463059;Oberkampf;Métro 5;Évaluation : campagne de mesure ponctuelle;non;Action(s) d'amélioration de la qualité de l'air en cours;;campagne de mesure ponctuelle;2.3686045625807752;48.86464456516527;48.86464456516527, 2.3686045625807752;pollution élevée;;;;
IDFM:21978;Odéon;Métro 10;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.340619126473996;48.8519477060765;48.8519477060765, 2.340619126473996;pollution moyenne;;;;
IDFM:463045;Olympiades;Métro 14;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.367034270941924;48.82694415504304;48.826944155043044, 2.367034270941924;pollution moyenne;;;;
IDFM:463228;Pereire;Métro 3;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.297701123838181;48.88492986463719;48.884929864637186, 2.297701123838181;pollution moyenne;;;;
IDFM:463098;Picpus;Métro 6;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.401274538822374;48.84510324750185;48.84510324750185, 2.4012745388223746;pollution moyenne;;;;
IDFM:22114;Pigalle;Métro 2;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;Action(s) d'amélioration de la qualité de l'air en cours;;;2.338257976509587;48.88226954222623;48.882269542226226, 2.338257976509587;pollution élevée;;;;
IDFM:22129;Place de Clichy;Métro 13;Évaluation : modélisation reposant notamment sur la configuration de la station, le trafic et le matériel roulant;non;;;;2.327398345647013;48.88373789022764;48.883737890227636, 2.327398345647013;pollution faible;;;;
